email,current_placement,first_choice,second_choice,third_choice
user1065@example.com,Livingstone Hospital,Themba Hospital,George Hospital,Paarl Hospital
user1066@example.com,Livingstone Hospital,General Justice Gizenga Mpanza Hospital,Frere Hospital,Rob Ferreira Hospital
user1067@example.com,Livingstone Hospital,Lebowakgomo Hospital,Witbank Hospital,Paarl Hospital
user1068@example.com,Livingstone Hospital,General Justice Gizenga Mpanza Hospital,Ladysmith Hospital,RK Khan Hospital
user1069@example.com,Livingstone Hospital,Nelson Mandela Academic Hospital,Themba Hospital,Mokopane Hospital
user1070@example.com,Livingstone Hospital,Leratong Hospital,Klerksdorp-Tshepong Tertiary Hospital,Sebokeng Hospital
user1071@example.com,Livingstone Hospital,Mokopane Hospital,Robert Mangaliso Sobukwe Hospital,Lebowakgomo Hospital
user1072@example.com,Livingstone Hospital,Leratong Hospital,George Hospital,Sebokeng Hospital
user1073@example.com,Livingstone Hospital,Worcester Hospital,General Justice Gizenga Mpanza Hospital,Kalafong Hospital
user1074@example.com,Livingstone Hospital,Rob Ferreira Hospital,Tambo Memorial Hospital,Prince Mshiyeni Memorial Hospital
user1075@example.com,Livingstone Hospital,Leratong Hospital,Ladysmith Hospital,Grey's Hospital
user1076@example.com,Livingstone Hospital,Dihlabeng Hospital,George Hospital,Sebokeng Hospital
user1077@example.com,"Madadeni Hospital, New Castle",Port Shepstone Hospital,Mahikeng Provincial Hospital,Rob Ferreira Hospital
user1078@example.com,"Madadeni Hospital, New Castle",Lebowakgomo Hospital,Port Shepstone Hospital,General Justice Gizenga Mpanza Hospital
user1079@example.com,"Madadeni Hospital, New Castle",Robert Mangaliso Sobukwe Hospital,George Hospital,Paarl Hospital
user1080@example.com,"Madadeni Hospital, New Castle",Robert Mangaliso Sobukwe Hospital,Frere Hospital,"Ngwelezana Hospital, Empangeni"
user1081@example.com,"Madadeni Hospital, New Castle",Port Shepstone Hospital,Tygerberg Hospital,Kalafong Hospital
user1082@example.com,"Madadeni Hospital, New Castle",Livingstone Hospital,Mokopane Hospital,Tembisa Hospital
user1083@example.com,"Madadeni Hospital, New Castle",Sebokeng Hospital,Charlotte Maxeke Hospital,Potchefstroom Hospital
user1084@example.com,"Madadeni Hospital, New Castle",Mitchells Plain Hospital,Frere Hospital,Leratong Hospital
user1085@example.com,"Madadeni Hospital, New Castle",Grey's Hospital,Groote Schuur Hospital,Klerksdorp-Tshepong Tertiary Hospital
user1086@example.com,"Madadeni Hospital, New Castle",Sebokeng Hospital,Charlotte Maxeke Hospital,Rob Ferreira Hospital
user1087@example.com,"Madadeni Hospital, New Castle",George Hospital,Tembisa Hospital,Thelle Mogoerane Regional Hospital
user1088@example.com,"Madadeni Hospital, New Castle",Leratong Hospital,Frere Hospital,Victoria Hospital
user1089@example.com,"Madadeni Hospital, New Castle",Livingstone Hospital,Steve Biko Academic Hospital,George Hospital
user1090@example.com,"Madadeni Hospital, New Castle",Job Shimankana Tabane Hospital,Sebokeng Hospital,Livingstone Hospital
user1091@example.com,"Madadeni Hospital, New Castle",Boitumelo Hospital,Ermelo Hospital,Themba Hospital
user1092@example.com,"Madadeni Hospital, New Castle",Grey's Hospital,Ladysmith Hospital,George Hospital
user1093@example.com,"Madadeni Hospital, New Castle",Dihlabeng Hospital,Tshilidzine Hospital,Job Shimankana Tabane Hospital
user1094@example.com,"Madadeni Hospital, New Castle",Frere Hospital,Klerksdorp-Tshepong Tertiary Hospital,Paarl Hospital
user1095@example.com,"Madadeni Hospital, New Castle",Pelonomi Hospital,Steve Biko Academic Hospital,Nelson Mandela Academic Hospital
user1096@example.com,"Madadeni Hospital, New Castle",Paarl Hospital,Livingstone Hospital,Tshilidzine Hospital
user1097@example.com,"Madadeni Hospital, New Castle",Port Shepstone Hospital,Leratong Hospital,General Justice Gizenga Mpanza Hospital
user1098@example.com,"Madadeni Hospital, New Castle",Sebokeng Hospital,Groote Schuur Hospital,Chris Hani Baragwanath Hospital
user1099@example.com,"Madadeni Hospital, New Castle",Leratong Hospital,Lebowakgomo Hospital,Paarl Hospital
user1100@example.com,"Madadeni Hospital, New Castle",Paarl Hospital,Leratong Hospital,Grey's Hospital
user1101@example.com,"Madadeni Hospital, New Castle",Rob Ferreira Hospital,Paarl Hospital,Grey's Hospital
user1102@example.com,"Madadeni Hospital, New Castle",Robert Mangaliso Sobukwe Hospital,Paarl Hospital,Livingstone Hospital
user1103@example.com,"Madadeni Hospital, New Castle","Ngwelezana Hospital, Empangeni",General Justice Gizenga Mpanza Hospital,Groote Schuur Hospital
user1104@example.com,"Madadeni Hospital, New Castle",Prince Mshiyeni Memorial Hospital,Witbank Hospital,General Justice Gizenga Mpanza Hospital
user1105@example.com,"Madadeni Hospital, New Castle",Nelson Mandela Academic Hospital,Ermelo Hospital,Chris Hani Baragwanath Hospital
user1106@example.com,"Madadeni Hospital, New Castle",Sebokeng Hospital,Rob Ferreira Hospital,"Ngwelezana Hospital, Empangeni"
user1107@example.com,"Madadeni Hospital, New Castle","Ngwelezana Hospital, Empangeni",Livingstone Hospital,George Hospital
user1108@example.com,"Madadeni Hospital, New Castle",Dihlabeng Hospital,Potchefstroom Hospital,Charlotte Maxeke Hospital
user1109@example.com,"Madadeni Hospital, New Castle",Bongani Hospital,"Ngwelezana Hospital, Empangeni",General Justice Gizenga Mpanza Hospital
user1110@example.com,"Madadeni Hospital, New Castle",Port Shepstone Hospital,Mahikeng Provincial Hospital,Grey's Hospital
user1111@example.com,"Madadeni Hospital, New Castle",Helderberg Hospital,Grey's Hospital,General Justice Gizenga Mpanza Hospital
user1112@example.com,"Madadeni Hospital, New Castle",Paarl Hospital,New Somerset Hospital,Dihlabeng Hospital
user1113@example.com,"Madadeni Hospital, New Castle",Frere Hospital,Job Shimankana Tabane Hospital,Rob Ferreira Hospital
user1114@example.com,"Madadeni Hospital, New Castle",General Justice Gizenga Mpanza Hospital,Worcester Hospital,Mahikeng Provincial Hospital
user1115@example.com,Mahikeng Provincial Hospital,"Madadeni Hospital, New Castle",Ladysmith Hospital,King Edward VIII Hospital
user1116@example.com,Mahikeng Provincial Hospital,Ladysmith Hospital,Pietersburg Hospital,George Hospital
user1117@example.com,Mahikeng Provincial Hospital,Klerksdorp-Tshepong Tertiary Hospital,Pelonomi Hospital,Charlotte Maxeke Hospital
user1118@example.com,Mahikeng Provincial Hospital,Joe Morolong Memorial Hospital,Paarl Hospital,Witbank Hospital
user1119@example.com,Mahikeng Provincial Hospital,General Justice Gizenga Mpanza Hospital,Livingstone Hospital,"Ngwelezana Hospital, Empangeni"
user1120@example.com,Mahikeng Provincial Hospital,Frere Hospital,Prince Mshiyeni Memorial Hospital,Leratong Hospital
user1121@example.com,Mahikeng Provincial Hospital,Livingstone Hospital,Witbank Hospital,Klerksdorp-Tshepong Tertiary Hospital
user1122@example.com,Mahikeng Provincial Hospital,Port Shepstone Hospital,Mokopane Hospital,New Somerset Hospital
user1123@example.com,Mahikeng Provincial Hospital,Paarl Hospital,Frere Hospital,Mankweng Hospital
user1124@example.com,Mahikeng Provincial Hospital,Nelson Mandela Academic Hospital,Victoria Hospital,Leratong Hospital
user1125@example.com,Mahikeng Provincial Hospital,General Justice Gizenga Mpanza Hospital,St Rita's Hospital,Tygerberg Hospital
user1126@example.com,Mahikeng Provincial Hospital,Grey's Hospital,SAMHS 2 Military Hospital,"Madadeni Hospital, New Castle"
user1127@example.com,Mahikeng Provincial Hospital,Worcester Hospital,Robert Mangaliso Sobukwe Hospital,Dr George Mukhari Hospital
user1128@example.com,Mahikeng Provincial Hospital,Victoria Hospital,Port Shepstone Hospital,Klerksdorp-Tshepong Tertiary Hospital
user1129@example.com,Mahikeng Provincial Hospital,Boitumelo Hospital,Kalafong Hospital,Job Shimankana Tabane Hospital
user1130@example.com,Mahikeng Provincial Hospital,Witbank Hospital,Worcester Hospital,Sebokeng Hospital
user1131@example.com,Mahikeng Provincial Hospital,Addington Hospital,"Ngwelezana Hospital, Empangeni",Livingstone Hospital
user1132@example.com,Mahikeng Provincial Hospital,Mokopane Hospital,Job Shimankana Tabane Hospital,Tygerberg Hospital
user1133@example.com,Mahikeng Provincial Hospital,Grey's Hospital,George Hospital,Mapulaneng Hospital
user1134@example.com,Mahikeng Provincial Hospital,Paarl Hospital,George Hospital,Bongani Hospital
user1135@example.com,Mahikeng Provincial Hospital,Helen Joseph Hospital,Witbank Hospital,Tambo Memorial Hospital
user1136@example.com,Mankweng Hospital,Frere Hospital,General Justice Gizenga Mpanza Hospital,New Somerset Hospital
user1137@example.com,Mankweng Hospital,Grey's Hospital,"Ngwelezana Hospital, Empangeni",Mokopane Hospital
user1138@example.com,Mankweng Hospital,Dihlabeng Hospital,Tembisa Hospital,Charlotte Maxeke Hospital
user1139@example.com,Mankweng Hospital,Leratong Hospital,Steve Biko Academic Hospital,Port Shepstone Hospital
user1140@example.com,Mankweng Hospital,Ladysmith Hospital,Prince Mshiyeni Memorial Hospital,Chris Hani Baragwanath Hospital
user1141@example.com,Mankweng Hospital,"Ngwelezana Hospital, Empangeni",George Hospital,Frere Hospital
user1142@example.com,Mankweng Hospital,Livingstone Hospital,Klerksdorp-Tshepong Tertiary Hospital,"Madadeni Hospital, New Castle"
user1143@example.com,Mankweng Hospital,General Justice Gizenga Mpanza Hospital,Nelson Mandela Academic Hospital,Worcester Hospital
user1144@example.com,Mankweng Hospital,Dr George Mukhari Hospital,Rob Ferreira Hospital,General Justice Gizenga Mpanza Hospital
user1145@example.com,Mankweng Hospital,Rob Ferreira Hospital,Themba Hospital,Port Shepstone Hospital
user1146@example.com,Mankweng Hospital,Grey's Hospital,Pietersburg Hospital,Leratong Hospital
user1147@example.com,Mankweng Hospital,Leratong Hospital,Tygerberg Hospital,Letaba Hospital
user1148@example.com,Mankweng Hospital,Thelle Mogoerane Regional Hospital,Witbank Hospital,Sebokeng Hospital
user1149@example.com,Mankweng Hospital,Grey's Hospital,Sebokeng Hospital,Tygerberg Hospital
user1150@example.com,Mankweng Hospital,Leratong Hospital,Livingstone Hospital,Klerksdorp-Tshepong Tertiary Hospital
user1151@example.com,Mankweng Hospital,Mapulaneng Hospital,George Hospital,"Ngwelezana Hospital, Empangeni"
user1152@example.com,Mankweng Hospital,Livingstone Hospital,Witbank Hospital,Frere Hospital
user1153@example.com,Mankweng Hospital,Livingstone Hospital,Dihlabeng Hospital,"Madadeni Hospital, New Castle"
user1154@example.com,Mankweng Hospital,Witbank Hospital,Klerksdorp-Tshepong Tertiary Hospital,Themba Hospital
user1155@example.com,Mankweng Hospital,Rob Ferreira Hospital,Grey's Hospital,Potchefstroom Hospital
user1156@example.com,Mankweng Hospital,Paarl Hospital,Sebokeng Hospital,Groote Schuur Hospital
user1157@example.com,Mankweng Hospital,General Justice Gizenga Mpanza Hospital,George Hospital,Witbank Hospital
user1158@example.com,Mankweng Hospital,Livingstone Hospital,Frere Hospital,Nelson Mandela Academic Hospital
user1159@example.com,Mankweng Hospital,Mokopane Hospital,RK Khan Hospital,Worcester Hospital
user1160@example.com,Mankweng Hospital,Rob Ferreira Hospital,Sebokeng Hospital,Chris Hani Baragwanath Hospital
user1161@example.com,Mankweng Hospital,Boitumelo Hospital,George Hospital,Frere Hospital
user1162@example.com,Mankweng Hospital,General Justice Gizenga Mpanza Hospital,Paarl Hospital,Ladysmith Hospital
user1163@example.com,Mankweng Hospital,Klerksdorp-Tshepong Tertiary Hospital,Grey's Hospital,Worcester Hospital
user1164@example.com,Mankweng Hospital,Ermelo Hospital,Themba Hospital,Robert Mangaliso Sobukwe Hospital
user1165@example.com,Mankweng Hospital,Nelson Mandela Academic Hospital,Witbank Hospital,Potchefstroom Hospital
user1166@example.com,Mankweng Hospital,George Hospital,"Ngwelezana Hospital, Empangeni",Sebokeng Hospital
user1167@example.com,Mankweng Hospital,"Ngwelezana Hospital, Empangeni",Chris Hani Baragwanath Hospital,Mitchells Plain Hospital
user1168@example.com,Mankweng Hospital,Helderberg Hospital,Pietersburg Hospital,Robert Mangaliso Sobukwe Hospital
user1169@example.com,Mankweng Hospital,Leratong Hospital,Pietersburg Hospital,"Madadeni Hospital, New Castle"
user1170@example.com,Mankweng Hospital,Mapulaneng Hospital,Tygerberg Hospital,Frere Hospital
user1171@example.com,Mankweng Hospital,Witbank Hospital,General Justice Gizenga Mpanza Hospital,Leratong Hospital
user1172@example.com,Mankweng Hospital,Nelson Mandela Academic Hospital,Kalafong Hospital,Dr George Mukhari Hospital
user1173@example.com,Mankweng Hospital,Livingstone Hospital,Rob Ferreira Hospital,George Hospital
user1174@example.com,Mankweng Hospital,Ladysmith Hospital,Paarl Hospital,Groote Schuur Hospital
user1175@example.com,Mankweng Hospital,Victoria Hospital,Grey's Hospital,Tembisa Hospital
user1176@example.com,Mapulaneng Hospital,Grey's Hospital,Frere Hospital,Rob Ferreira Hospital
user1177@example.com,Mapulaneng Hospital,Job Shimankana Tabane Hospital,Tygerberg Hospital,Paarl Hospital
user1178@example.com,Mapulaneng Hospital,Livingstone Hospital,Sebokeng Hospital,George Hospital
user1179@example.com,Mapulaneng Hospital,Witbank Hospital,Paarl Hospital,"Madadeni Hospital, New Castle"
user1180@example.com,Mapulaneng Hospital,Job Shimankana Tabane Hospital,Grey's Hospital,Mokopane Hospital
user1181@example.com,Mapulaneng Hospital,Worcester Hospital,Helen Joseph Hospital,Boitumelo Hospital
user1182@example.com,Mapulaneng Hospital,Nelson Mandela Academic Hospital,Port Shepstone Hospital,George Hospital
user1183@example.com,Mapulaneng Hospital,Livingstone Hospital,Witbank Hospital,Boitumelo Hospital
user1184@example.com,Mapulaneng Hospital,Tshilidzine Hospital,Ermelo Hospital,Livingstone Hospital
user1185@example.com,Mapulaneng Hospital,Mokopane Hospital,Witbank Hospital,Job Shimankana Tabane Hospital
user1186@example.com,Mapulaneng Hospital,Themba Hospital,"Madadeni Hospital, New Castle",George Hospital
user1187@example.com,Mitchells Plain Hospital,Livingstone Hospital,Frere Hospital,Paarl Hospital
user1188@example.com,Mitchells Plain Hospital,Paarl Hospital,Helen Joseph Hospital,Livingstone Hospital
user1189@example.com,Mitchells Plain Hospital,Nelson Mandela Academic Hospital,Thelle Mogoerane Regional Hospital,Witbank Hospital
user1190@example.com,Mitchells Plain Hospital,Karl Bremer Hospital,Job Shimankana Tabane Hospital,Port Shepstone Hospital
user1191@example.com,Mitchells Plain Hospital,George Hospital,Worcester Hospital,Helen Joseph Hospital
user1192@example.com,Mitchells Plain Hospital,Victoria Hospital,Livingstone Hospital,Robert Mangaliso Sobukwe Hospital
user1193@example.com,Mitchells Plain Hospital,George Hospital,St Rita's Hospital,Frere Hospital
user1194@example.com,Mitchells Plain Hospital,Prince Mshiyeni Memorial Hospital,Joe Morolong Memorial Hospital,Tembisa Hospital
user1195@example.com,Mitchells Plain Hospital,Potchefstroom Hospital,Worcester Hospital,Kalafong Hospital
user1196@example.com,Mitchells Plain Hospital,Klerksdorp-Tshepong Tertiary Hospital,Livingstone Hospital,Chris Hani Baragwanath Hospital
user1197@example.com,Mitchells Plain Hospital,Kalafong Hospital,Helen Joseph Hospital,Job Shimankana Tabane Hospital
user1198@example.com,Mitchells Plain Hospital,Port Shepstone Hospital,"Ngwelezana Hospital, Empangeni",Kalafong Hospital
user1199@example.com,Mitchells Plain Hospital,New Somerset Hospital,Ladysmith Hospital,Edenvale Hospital
user1200@example.com,Mitchells Plain Hospital,Sebokeng Hospital,Livingstone Hospital,Tambo Memorial Hospital
user1201@example.com,Mitchells Plain Hospital,Port Shepstone Hospital,"Ngwelezana Hospital, Empangeni",Paarl Hospital
user1202@example.com,Mitchells Plain Hospital,"Ngwelezana Hospital, Empangeni",Grey's Hospital,Edenvale Hospital
user1203@example.com,Mitchells Plain Hospital,Port Shepstone Hospital,Klerksdorp-Tshepong Tertiary Hospital,Lebowakgomo Hospital
user1204@example.com,Mitchells Plain Hospital,Port Shepstone Hospital,Themba Hospital,Klerksdorp-Tshepong Tertiary Hospital
user1205@example.com,Mitchells Plain Hospital,George Hospital,Grey's Hospital,Leratong Hospital
user1206@example.com,Mitchells Plain Hospital,Klerksdorp-Tshepong Tertiary Hospital,Port Shepstone Hospital,Livingstone Hospital
user1207@example.com,Mitchells Plain Hospital,"Madadeni Hospital, New Castle",Tygerberg Hospital,Port Shepstone Hospital
user1208@example.com,Mitchells Plain Hospital,Port Shepstone Hospital,Job Shimankana Tabane Hospital,Frere Hospital
user1209@example.com,Mitchells Plain Hospital,General Justice Gizenga Mpanza Hospital,Livingstone Hospital,Rob Ferreira Hospital
user1210@example.com,Mitchells Plain Hospital,Witbank Hospital,Ladysmith Hospital,Tembisa Hospital
user1211@example.com,Mitchells Plain Hospital,Livingstone Hospital,Witbank Hospital,George Hospital
user1212@example.com,Mitchells Plain Hospital,Grey's Hospital,Port Shepstone Hospital,Paarl Hospital
user1213@example.com,Mofumahadi Manapo Mopeli Hospital,Livingstone Hospital,Job Shimankana Tabane Hospital,Klerksdorp-Tshepong Tertiary Hospital
user1214@example.com,Mofumahadi Manapo Mopeli Hospital,Thelle Mogoerane Regional Hospital,Ladysmith Hospital,Potchefstroom Hospital
user1215@example.com,Mofumahadi Manapo Mopeli Hospital,Frere Hospital,Mitchells Plain Hospital,Prince Mshiyeni Memorial Hospital
user1216@example.com,Mofumahadi Manapo Mopeli Hospital,"Madadeni Hospital, New Castle",Tygerberg Hospital,Sebokeng Hospital
user1217@example.com,Mofumahadi Manapo Mopeli Hospital,Paarl Hospital,Job Shimankana Tabane Hospital,Port Shepstone Hospital
user1218@example.com,Mofumahadi Manapo Mopeli Hospital,Witbank Hospital,Kalafong Hospital,New Somerset Hospital
user1219@example.com,Mofumahadi Manapo Mopeli Hospital,General Justice Gizenga Mpanza Hospital,Sebokeng Hospital,Pietersburg Hospital
user1220@example.com,Mofumahadi Manapo Mopeli Hospital,Rob Ferreira Hospital,Lebowakgomo Hospital,General Justice Gizenga Mpanza Hospital
user1221@example.com,Mofumahadi Manapo Mopeli Hospital,Thelle Mogoerane Regional Hospital,Potchefstroom Hospital,Tygerberg Hospital
user1222@example.com,Mofumahadi Manapo Mopeli Hospital,Potchefstroom Hospital,Klerksdorp-Tshepong Tertiary Hospital,Worcester Hospital
user1223@example.com,Mofumahadi Manapo Mopeli Hospital,Mankweng Hospital,Prince Mshiyeni Memorial Hospital,Ladysmith Hospital
user1224@example.com,Mofumahadi Manapo Mopeli Hospital,Paarl Hospital,Themba Hospital,Frere Hospital
user1225@example.com,Mofumahadi Manapo Mopeli Hospital,Kalafong Hospital,New Somerset Hospital,Livingstone Hospital
user1226@example.com,Mofumahadi Manapo Mopeli Hospital,Livingstone Hospital,Leratong Hospital,Rob Ferreira Hospital
user1227@example.com,Mofumahadi Manapo Mopeli Hospital,Tygerberg Hospital,"Ngwelezana Hospital, Empangeni",Port Shepstone Hospital
user1228@example.com,Mofumahadi Manapo Mopeli Hospital,Klerksdorp-Tshepong Tertiary Hospital,Tambo Memorial Hospital,Leratong Hospital
user1229@example.com,Mokopane Hospital,Ermelo Hospital,Groote Schuur Hospital,Mankweng Hospital
user1230@example.com,Mokopane Hospital,Worcester Hospital,Potchefstroom Hospital,George Hospital
user1231@example.com,Mokopane Hospital,Mapulaneng Hospital,Frere Hospital,Helen Joseph Hospital
user1232@example.com,Mokopane Hospital,Worcester Hospital,Joe Morolong Memorial Hospital,New Somerset Hospital
user1233@example.com,Mokopane Hospital,Frere Hospital,Worcester Hospital,Job Shimankana Tabane Hospital
user1234@example.com,Mokopane Hospital,Leratong Hospital,Bongani Hospital,Tambo Memorial Hospital
user1235@example.com,Mokopane Hospital,Klerksdorp-Tshepong Tertiary Hospital,"Ngwelezana Hospital, Empangeni",Livingstone Hospital
user1236@example.com,Mokopane Hospital,Themba Hospital,Lebowakgomo Hospital,Robert Mangaliso Sobukwe Hospital
user1237@example.com,Mokopane Hospital,Mahikeng Provincial Hospital,Livingstone Hospital,Pelonomi Hospital
user1238@example.com,Mokopane Hospital,Grey's Hospital,Sebokeng Hospital,Job Shimankana Tabane Hospital
user1239@example.com,Mokopane Hospital,Grey's Hospital,Chris Hani Baragwanath Hospital,Joe Morolong Memorial Hospital
user1240@example.com,Mokopane Hospital,Mitchells Plain Hospital,General Justice Gizenga Mpanza Hospital,Thelle Mogoerane Regional Hospital
user1241@example.com,Mokopane Hospital,Witbank Hospital,George Hospital,"Ngwelezana Hospital, Empangeni"
user1242@example.com,Mokopane Hospital,Paarl Hospital,Frere Hospital,Steve Biko Academic Hospital
user1243@example.com,Mokopane Hospital,"Madadeni Hospital, New Castle",Grey's Hospital,Klerksdorp-Tshepong Tertiary Hospital
user1244@example.com,Mokopane Hospital,Victoria Hospital,Paarl Hospital,New Somerset Hospital
user1245@example.com,Nelson Mandela Academic Hospital,Groote Schuur Hospital,Port Shepstone Hospital,Mankweng Hospital
user1246@example.com,Nelson Mandela Academic Hospital,Victoria Hospital,Witbank Hospital,Pelonomi Hospital
user1247@example.com,Nelson Mandela Academic Hospital,Joe Morolong Memorial Hospital,Rob Ferreira Hospital,"Ngwelezana Hospital, Empangeni"
user1248@example.com,Nelson Mandela Academic Hospital,Groote Schuur Hospital,Paarl Hospital,Leratong Hospital
user1249@example.com,Nelson Mandela Academic Hospital,Helen Joseph Hospital,Livingstone Hospital,Robert Mangaliso Sobukwe Hospital
user1250@example.com,Nelson Mandela Academic Hospital,Livingstone Hospital,"Ngwelezana Hospital, Empangeni",Job Shimankana Tabane Hospital
user1251@example.com,Nelson Mandela Academic Hospital,Witbank Hospital,Edenvale Hospital,Leratong Hospital
user1252@example.com,Nelson Mandela Academic Hospital,Themba Hospital,Livingstone Hospital,Prince Mshiyeni Memorial Hospital
user1253@example.com,Nelson Mandela Academic Hospital,Frere Hospital,George Hospital,Ladysmith Hospital
user1254@example.com,Nelson Mandela Academic Hospital,SAMHS 1 Military Hospital,"Ngwelezana Hospital, Empangeni",Rob Ferreira Hospital
user1255@example.com,Nelson Mandela Academic Hospital,Mitchells Plain Hospital,Livingstone Hospital,Paarl Hospital
user1256@example.com,Nelson Mandela Academic Hospital,George Hospital,Sebokeng Hospital,Livingstone Hospital
user1257@example.com,Nelson Mandela Academic Hospital,Victoria Hospital,Frere Hospital,Mahikeng Provincial Hospital
user1258@example.com,Nelson Mandela Academic Hospital,Sebokeng Hospital,Themba Hospital,"Ngwelezana Hospital, Empangeni"
user1259@example.com,Nelson Mandela Academic Hospital,"Madadeni Hospital, New Castle",Boitumelo Hospital,Thelle Mogoerane Regional Hospital
user1260@example.com,Nelson Mandela Academic Hospital,Paarl Hospital,Leratong Hospital,Pelonomi Hospital
user1261@example.com,Nelson Mandela Academic Hospital,Sebokeng Hospital,George Hospital,Witbank Hospital
user1262@example.com,Nelson Mandela Academic Hospital,Mapulaneng Hospital,Dihlabeng Hospital,Paarl Hospital
user1263@example.com,Nelson Mandela Academic Hospital,"Ngwelezana Hospital, Empangeni",Frere Hospital,Pelonomi Hospital
user1264@example.com,Nelson Mandela Academic Hospital,King Edward VIII Hospital,Witbank Hospital,Charlotte Maxeke Hospital
user1265@example.com,Nelson Mandela Academic Hospital,Port Shepstone Hospital,Potchefstroom Hospital,Helen Joseph Hospital
user1266@example.com,Nelson Mandela Academic Hospital,Tambo Memorial Hospital,Worcester Hospital,Robert Mangaliso Sobukwe Hospital
user1267@example.com,Nelson Mandela Academic Hospital,Pelonomi Hospital,Leratong Hospital,Port Shepstone Hospital
user1268@example.com,Nelson Mandela Academic Hospital,Ermelo Hospital,Grey's Hospital,"Madadeni Hospital, New Castle"
user1269@example.com,Nelson Mandela Academic Hospital,Rob Ferreira Hospital,Mahikeng Provincial Hospital,Paarl Hospital
user1270@example.com,Nelson Mandela Academic Hospital,Prince Mshiyeni Memorial Hospital,"Ngwelezana Hospital, Empangeni",General Justice Gizenga Mpanza Hospital
user1271@example.com,Nelson Mandela Academic Hospital,Leratong Hospital,Edenvale Hospital,Frere Hospital
user1272@example.com,Nelson Mandela Academic Hospital,Livingstone Hospital,Dr George Mukhari Hospital,Port Shepstone Hospital
user1273@example.com,Nelson Mandela Academic Hospital,Witbank Hospital,Rob Ferreira Hospital,Livingstone Hospital
user1274@example.com,Nelson Mandela Academic Hospital,Paarl Hospital,Grey's Hospital,George Hospital
user1275@example.com,Nelson Mandela Academic Hospital,Lebowakgomo Hospital,Klerksdorp-Tshepong Tertiary Hospital,Grey's Hospital
user1276@example.com,Nelson Mandela Academic Hospital,Livingstone Hospital,Grey's Hospital,Job Shimankana Tabane Hospital
user1277@example.com,Nelson Mandela Academic Hospital,Klerksdorp-Tshepong Tertiary Hospital,Frere Hospital,Leratong Hospital
user1278@example.com,Nelson Mandela Academic Hospital,RK Khan Hospital,Kalafong Hospital,Leratong Hospital
user1279@example.com,Nelson Mandela Academic Hospital,Mapulaneng Hospital,Tembisa Hospital,Livingstone Hospital
user1280@example.com,Nelson Mandela Academic Hospital,Themba Hospital,Frere Hospital,Potchefstroom Hospital
user1281@example.com,Nelson Mandela Academic Hospital,Sebokeng Hospital,Khayelitsha Hospital,Leratong Hospital
user1282@example.com,Nelson Mandela Academic Hospital,Frere Hospital,George Hospital,Klerksdorp-Tshepong Tertiary Hospital
user1283@example.com,Nelson Mandela Academic Hospital,Frere Hospital,Sebokeng Hospital,New Somerset Hospital
user1284@example.com,Nelson Mandela Academic Hospital,Rob Ferreira Hospital,General Justice Gizenga Mpanza Hospital,Mahikeng Provincial Hospital
user1285@example.com,Nelson Mandela Academic Hospital,Robert Mangaliso Sobukwe Hospital,Tambo Memorial Hospital,Pietersburg Hospital
user1286@example.com,Nelson Mandela Academic Hospital,Leratong Hospital,Livingstone Hospital,Mankweng Hospital
user1287@example.com,Nelson Mandela Academic Hospital,Paarl Hospital,Port Shepstone Hospital,Frere Hospital
user1288@example.com,Nelson Mandela Academic Hospital,Leratong Hospital,Paarl Hospital,Tygerberg Hospital
user1289@example.com,Nelson Mandela Academic Hospital,Worcester Hospital,Leratong Hospital,Paarl Hospital
user1290@example.com,Nelson Mandela Academic Hospital,Potchefstroom Hospital,Leratong Hospital,Livingstone Hospital
user1291@example.com,Nelson Mandela Academic Hospital,Worcester Hospital,Frere Hospital,Rob Ferreira Hospital
user1292@example.com,Nelson Mandela Academic Hospital,Witbank Hospital,Paarl Hospital,Rob Ferreira Hospital
user1293@example.com,Nelson Mandela Academic Hospital,Lebowakgomo Hospital,"Ngwelezana Hospital, Empangeni",Paarl Hospital
user1294@example.com,Nelson Mandela Academic Hospital,"Ngwelezana Hospital, Empangeni",Livingstone Hospital,King Edward VIII Hospital
user1295@example.com,Nelson Mandela Academic Hospital,Robert Mangaliso Sobukwe Hospital,Joe Morolong Memorial Hospital,Klerksdorp-Tshepong Tertiary Hospital
user1296@example.com,Nelson Mandela Academic Hospital,Boitumelo Hospital,Dihlabeng Hospital,Klerksdorp-Tshepong Tertiary Hospital
user1297@example.com,Nelson Mandela Academic Hospital,Paarl Hospital,Frere Hospital,Mokopane Hospital
user1298@example.com,Nelson Mandela Academic Hospital,Mokopane Hospital,Potchefstroom Hospital,Rob Ferreira Hospital
user1299@example.com,Nelson Mandela Academic Hospital,Paarl Hospital,Mahikeng Provincial Hospital,Livingstone Hospital
user1300@example.com,Nelson Mandela Academic Hospital,Leratong Hospital,Tshilidzine Hospital,Worcester Hospital
user1301@example.com,New Somerset Hospital,Kalafong Hospital,"Madadeni Hospital, New Castle",Prince Mshiyeni Memorial Hospital
user1302@example.com,New Somerset Hospital,Paarl Hospital,Groote Schuur Hospital,Potchefstroom Hospital
user1303@example.com,New Somerset Hospital,"Madadeni Hospital, New Castle",Dihlabeng Hospital,Kalafong Hospital
user1304@example.com,New Somerset Hospital,Frere Hospital,Grey's Hospital,Sebokeng Hospital
